ensemble_size;model_name;mean_absolute_error_mean;mean_absolute_error_std;mean_squared_error_mean;mean_squared_error_std;root_mean_squared_error_mean;root_mean_squared_error_std
16;gpt2_xl_wechsel_german;0.49832170213528804;0.0033855093576438872;0.3847345632312339;0.004272127622974328;0.6202602156504362;0.0034409231988344596
17;gpt2_xl_wechsel_german;0.4981895629139037;0.003267033959108777;0.384580346887295;0.004161556431814674;0.6201363718084711;0.003352385122007546
18;gpt2_xl_wechsel_german;0.4982434426061865;0.0031117675290118236;0.3844675408616144;0.00394976056778244;0.6200463065597493;0.003182563736941815
19;gpt2_xl_wechsel_german;0.49838750280489735;0.003064886699003977;0.3846696932247986;0.0038254332133542982;0.6202098034059087;0.0030826103369424656
20;gpt2_xl_wechsel_german;0.49825420884355487;0.0031189994808752983;0.3843723091073892;0.0038464923901162552;0.6199699242020399;0.0031002909717782363
21;gpt2_xl_wechsel_german;0.498130213811825;0.002904570706691354;0.38426555796919937;0.0035808116553047555;0.6198848540091347;0.0028868795170886056
22;gpt2_xl_wechsel_german;0.4981963314788576;0.0029281399695289794;0.3843231957899571;0.003671339563019423;0.6199310043565179;0.00295878046823837
23;gpt2_xl_wechsel_german;0.4984812296523986;0.002819727193120586;0.38463939904785804;0.003540077649305072;0.6201864792300528;0.0028527471419625516
24;gpt2_xl_wechsel_german;0.49834308214283174;0.002766762933498783;0.3843994935502492;0.0034453799272194446;0.6199933770813004;0.0027773439134947428
25;gpt2_xl_wechsel_german;0.49827752612966064;0.0026583140276759325;0.3842048263915948;0.0033658097819651515;0.6198366455687464;0.0027141422673219295
26;gpt2_xl_wechsel_german;0.4981400280629194;0.002631495071504071;0.3840316103120206;0.003314614023873236;0.6196970752847809;0.002674387379749128
27;gpt2_xl_wechsel_german;0.4980043763758337;0.0026363939593260963;0.3838729470273341;0.003272637459635276;0.6195691928211111;0.0026399438693571337
28;gpt2_xl_wechsel_german;0.49822605398343234;0.002646402039661744;0.3841098506732071;0.0033297553318697155;0.6197601546051479;0.0026848921125967244
29;gpt2_xl_wechsel_german;0.4980477387187467;0.0024907610893307613;0.38389914337473646;0.0030581035857571237;0.6195910414132266;0.002467968005382278
30;gpt2_xl_wechsel_german;0.4982288810052902;0.0023836515780939916;0.38407080058113846;0.0030420008850414893;0.6197296042560453;0.0024544274276292522
31;gpt2_xl_wechsel_german;0.4980309963459987;0.002444560419153111;0.3838362376706121;0.003037186830571633;0.6195403425726879;0.0024510412343580782
32;gpt2_xl_wechsel_german;0.4980655540198286;0.0024755142405151307;0.3838693569103167;0.003084279493316418;0.6195669217607686;0.0024884860389184555
33;gpt2_xl_wechsel_german;0.49807321508436836;0.0023564962685473988;0.38385685552357524;0.0029059860476876105;0.619557393486399;0.002344610225613176
34;gpt2_xl_wechsel_german;0.4981745734573066;0.0023174502503128585;0.38401285972297167;0.0029475024751238017;0.6196831584083806;0.0023766692115310033
35;gpt2_xl_wechsel_german;0.49810109228543276;0.002224629908263872;0.3838683595934055;0.0027855728452418366;0.6195670371426233;0.002247472101447524
36;gpt2_xl_wechsel_german;0.4980562138581277;0.002178744331701315;0.3837932619745273;0.0026711130534540018;0.6195067551688135;0.0021556719732707284
37;gpt2_xl_wechsel_german;0.49805435332579695;0.0022155274894444157;0.38372848029997647;0.0027027916559858576;0.619454378858207;0.002181185673040549
38;gpt2_xl_wechsel_german;0.4981366084460743;0.002251277725685431;0.3838907396251975;0.0028302952219837613;0.6195849689930937;0.002282768945299083
39;gpt2_xl_wechsel_german;0.498085640934827;0.0022026974196299245;0.38376074276526984;0.0027237040784854707;0.6194803609196764;0.0021977329517081333
40;gpt2_xl_wechsel_german;0.49805820072940094;0.0021022687288870592;0.38369746354763135;0.002597841384032788;0.6194296360550356;0.002096167521484762
41;gpt2_xl_wechsel_german;0.4980145258440922;0.0021199874684271628;0.38361953392772635;0.002629829715298953;0.6193666388866921;0.002122514310014777
42;gpt2_xl_wechsel_german;0.4981197929391931;0.002066201389152029;0.3837853777692784;0.0025606307838403476;0.619500696173265;0.002066271908126562
43;gpt2_xl_wechsel_german;0.4980126343412238;0.00215398365745075;0.38357294443172285;0.002628700374935356;0.6193290294320575;0.0021218474742301235
