ensemble_size;model_name;mean_absolute_error_mean;mean_absolute_error_std;mean_squared_error_mean;mean_squared_error_std;root_mean_squared_error_mean;root_mean_squared_error_std
1;gpt2_xl_wechsel_german;0.5046185547912346;0.015995150301170522;0.40076697922002613;0.024596291163631538;0.6327816718941573;0.018833205369401983
2;gpt2_xl_wechsel_german;0.4963421021546832;0.011081726007058904;0.3871411226158555;0.015768792326214268;0.6220822875034377;0.01244608755555508
3;gpt2_xl_wechsel_german;0.49397925672558646;0.008870644395694443;0.3830748591959283;0.012081839603837217;0.6188542675113277;0.009713347933336974
4;gpt2_xl_wechsel_german;0.4921725098909996;0.007599902932633277;0.37992014644717786;0.010100616688370588;0.6163228005869099;0.0081497449180427
5;gpt2_xl_wechsel_german;0.49149254376705975;0.00683829584302084;0.3789405813965263;0.008968619059311936;0.6155386988171953;0.007262533948924572
6;gpt2_xl_wechsel_german;0.49097888094094355;0.006098145217284423;0.37793848946369707;0.007890136805808872;0.614733733047421;0.006400615998812747
7;gpt2_xl_wechsel_german;0.4907859229971377;0.005783238228866865;0.37762096533796763;0.007515530913110683;0.6144784369490527;0.006103533053242712
8;gpt2_xl_wechsel_german;0.49054657658221945;0.005505444699147767;0.3772529393959322;0.007066084815423612;0.6141824175460382;0.00573849314189654
9;gpt2_xl_wechsel_german;0.4902376819085373;0.005041493035993821;0.3768812561661226;0.006407365327547275;0.6138844784527169;0.00520868614627449
10;gpt2_xl_wechsel_german;0.48991556593538604;0.00492765444988603;0.37638323625475956;0.006323098203611985;0.6134792607049548;0.005143870047104576
11;gpt2_xl_wechsel_german;0.4898930629931826;0.0047922230541972664;0.37617845481593065;0.006060537275921726;0.6133140528115198;0.004934753451822346
12;gpt2_xl_wechsel_german;0.4897845055298547;0.004374734148846964;0.37616348009542877;0.005663761482386062;0.6133043657727767;0.0046104528797490316
13;gpt2_xl_wechsel_german;0.4897330626889163;0.00437262453649349;0.37600211612969375;0.0055656865782094415;0.613173367032139;0.004534164841962568
14;gpt2_xl_wechsel_german;0.48935737832026066;0.004090303655079693;0.3754771579825953;0.005276473664686946;0.6127468305688923;0.004300942743189718
