ensemble_size;model_name;mean_absolute_error_mean;mean_absolute_error_std;mean_squared_error_mean;mean_squared_error_std;root_mean_squared_error_mean;root_mean_squared_error_std
42;gbert;0.5181071873941315;0.0033415218107078837;0.40970002957186713;0.005042764812851493;0.6400660372356992;0.003938662503638949
43;gbert;0.5182840962504812;0.003277949426946026;0.40976209798819574;0.004940554329174005;0.6401150030789725;0.0038594970034626793
44;gbert;0.5181641691025902;0.003393297541803504;0.40975178153026764;0.005032055691245106;0.6401065195836102;0.003929447465308632
45;gbert;0.5182325555314456;0.0032546331545860196;0.40965616743555366;0.004925164867767113;0.6400323322954924;0.0038465371170891805
46;gbert;0.5183482477801119;0.0031374802036077546;0.4097793104125141;0.004871796652775444;0.6401287724672643;0.003805200601659557
47;gbert;0.5182845734125573;0.003079925178316018;0.4098086411123942;0.004498924359482782;0.6401533510201162;0.0035129233895790295
48;gbert;0.5181537232026125;0.00310905775090194;0.40969455525395154;0.004672206789492183;0.640063468098583;0.0036503951773807553
49;gbert;0.5183912546996642;0.0031703131748483616;0.4098054415436698;0.004826291923122565;0.6401493970424488;0.003768980641152936
50;gbert;0.5182258288084977;0.0029962101985303484;0.4098101621579305;0.004569767438147159;0.6401542331620957;0.0035682846348320083
51;gbert;0.5182003174826785;0.00288526538652209;0.40959636608445193;0.004520235750520915;0.6399874250379871;0.0035319048757733525
52;gbert;0.518215247393754;0.0030518394005399595;0.4096810906369473;0.004485433649793426;0.640053774026899;0.003502750366453751
53;gbert;0.5182035153614094;0.0028895231804563198;0.4096519282291293;0.004301403215763176;0.64003175702612;0.0033599876046924303
54;gbert;0.5181762917653111;0.0030342423713889638;0.40971962159840464;0.0045716936846902125;0.6400835018352933;0.0035700170441334052
55;gbert;0.5181302918038669;0.0029852441806303715;0.40960815454847344;0.004608854751787943;0.6399962632921486;0.0035986762886554796
56;gbert;0.5181252699070343;0.0028546519127611017;0.4094722482055184;0.0041363447863891605;0.6398920310705394;0.003232216756911297
57;gbert;0.5181607144305282;0.0028030767924541386;0.409609330730082;0.004173702850359612;0.6399989918269574;0.0032606475401574615
58;gbert;0.5181617109687978;0.002732507782419344;0.4096488872379013;0.004239805037921933;0.6400296355668812;0.003311162609235422
59;gbert;0.5181851037379197;0.0027100661959267784;0.409419128548431;0.004010058306981085;0.6398510154177014;0.0031331188615215918
60;gbert;0.5183309345075382;0.0026505535374396435;0.4096452063399332;0.004040289475620542;0.6400275513588131;0.0031543289881393144
1;gbert;0.46359823585379845;0.02186521336195071;0.35476577374103907;0.033792237637345894;0.5949539179670779;0.028220659848866764
2;gbert;0.4425165405157488;0.014856182459933276;0.3242152380024452;0.021991117759352675;0.5690752456159377;0.019208638718183686
3;gbert;0.4338300329155388;0.011083347601033766;0.31231724680605755;0.016287230677779152;0.5586650178818737;0.014520862803596163
4;gbert;0.43037360450389883;0.010254013097973793;0.30718764651659064;0.015065124861162073;0.5540803482342166;0.01352024460779464
5;gbert;0.42803458547755074;0.008901830654413724;0.3044022437376533;0.01296986959604997;0.5516028121486395;0.01169265091633386
6;gbert;0.4263961408628862;0.008193931100561323;0.30211259191024725;0.0117357205230901;0.5495447157168863;0.010644747462522232
7;gbert;0.4256953689895955;0.007621169113957934;0.3009449742118602;0.010901472453621115;0.5484951206371766;0.009908331044784204
8;gbert;0.4247323461676088;0.007026993602170104;0.29983082788740145;0.009808033232050626;0.5474951639224614;0.00894166216316597
9;gbert;0.4238883377875311;0.0069133111025469225;0.29870392357996095;0.00990488589195387;0.5464634312631155;0.009040110380886073
10;gbert;0.4234618780808987;0.006425953892297418;0.2983130392739161;0.009218543251737063;0.5461155472723539;0.008421355030785303
11;gbert;0.4228086867445272;0.005783904036171773;0.29722489125582;0.008492440499022424;0.5451279661314032;0.007775104469352096
12;gbert;0.4225531699072455;0.005833693645528636;0.2968474055589633;0.008290457405864815;0.5447841518583623;0.007595467994921535
13;gbert;0.4219955440894981;0.005583171693213282;0.2958812781429769;0.007821257752197571;0.543902281980346;0.007185919355705232
14;gbert;0.4218700263235976;0.0056156142348422235;0.2957085842551523;0.007714815052669758;0.5437448388779909;0.007084111329735041
15;gbert;0.42186438601199955;0.005097663896991231;0.29582501664868127;0.007389393363601285;0.5438557703243911;0.0067796531800052885
16;gbert;0.4218122721347317;0.005090691134580423;0.29570852275113335;0.007193848804768905;0.5437507907464719;0.0066063573682685495
17;gbert;0.42150453712962804;0.004864727054576126;0.2951162296672852;0.006612908531325268;0.543211972287718;0.006084394006272593
18;gbert;0.42136421981691435;0.004673410115138427;0.294969471428347;0.006505593744639449;0.5430779991844966;0.005982810721963658
19;gbert;0.42118590280970114;0.004555864539439205;0.2947832193445694;0.006406327868268795;0.5429074760694101;0.005892919396276816
20;gbert;0.4209163648116308;0.004290162834716981;0.2944352987738397;0.006013755938568092;0.5425907234008003;0.005535005828895209
21;gbert;0.4208675227626779;0.004411405392337225;0.29442387168504414;0.006196832463154076;0.5425784504222735;0.005703450864185621
22;gbert;0.42073255847570623;0.004401434311663534;0.2939814292742834;0.006001264821152252;0.5421723638130104;0.0055306219790014245
23;gbert;0.4206671973870445;0.004221244651460323;0.293984381232582;0.005886611742371874;0.542176196535187;0.005420565076315082
24;gbert;0.4205214476212506;0.00397669768593005;0.2941292202357782;0.005653675720796416;0.5423118545012671;0.005205747110480254
25;gbert;0.42037817053122756;0.0040018808400043085;0.2936542883935109;0.005522614169253806;0.541874888224564;0.0050911516332229
26;gbert;0.4205272732768047;0.003827333115189718;0.2936711683807352;0.005249190226015441;0.5418927556257691;0.0048407865330927485
27;gbert;0.42032692861441967;0.003822843476045459;0.2938427793711461;0.005312776703824614;0.5420505848108153;0.004895594370889838
28;gbert;0.42041551225604495;0.0038380687415636725;0.2936755946262956;0.005401644017698592;0.5418955850355015;0.004979391495621482
29;gbert;0.42050239022190095;0.0037213322671968206;0.2936621138147598;0.0051534512415067745;0.5418851986700085;0.0047505625952133125
30;gbert;0.42020244131125783;0.003651337197594825;0.29342030981252043;0.0049362988943542265;0.5416637293932407;0.004553548850533366
31;gbert;0.42017274318083847;0.0035838392503695065;0.2933826034712631;0.004953280522596744;0.541628789552886;0.0045693191414394
32;gbert;0.42011537930616527;0.0034602604876955937;0.29302808875272474;0.004885905240710069;0.5413019410071742;0.00450751953103458
33;gbert;0.42024371870814925;0.0035029814689930337;0.2933618953846975;0.004872503296143964;0.5416103108783136;0.004492963578420951
34;gbert;0.42004128043424094;0.0034792729042611692;0.2932258251271178;0.004790871621642686;0.5414852627032475;0.004422098740464122
35;gbert;0.4201201902241626;0.0035615363926725448;0.2933416796305976;0.004796643082555946;0.5415921957152727;0.004426371388598782
36;gbert;0.42011276464733704;0.003472511029650905;0.2932295677548483;0.00475090564081536;0.5414890338653652;0.004383283195717451
37;gbert;0.4198169633631578;0.003435606270350975;0.2930364335717707;0.004717024083089369;0.5413108975448462;0.004354851972199707
38;gbert;0.41995361767742645;0.003365857916799456;0.29303736706576766;0.004693876324407043;0.5413119289520211;0.004333753734469377
39;gbert;0.41988327250423024;0.0032391135728038157;0.2930567713784465;0.004452875644735087;0.5413316118798271;0.004107825734883628
40;gbert;0.420022117489953;0.0032638285670887244;0.2930641555844384;0.0045121159905550596;0.541337988139634;0.004165997708694818
41;gbert;0.42003814173823256;0.003074491509216942;0.29315590999864566;0.004267691005016875;0.5414244079909888;0.003941569004772747
42;gbert;0.4197276105343921;0.0031129051073687268;0.29275222088986463;0.0042432750755303315;0.5410516284349227;0.003920666960031797
43;gbert;0.42003356417450033;0.003089976211053719;0.2931490539287324;0.004067564293614303;0.5414194023760136;0.003754831326613888
44;gbert;0.41982321738883166;0.003052079316282463;0.292674349495661;0.004158603395690539;0.5409802269860754;0.0038416486069218435
45;gbert;0.4197153859124058;0.0030818366644700473;0.2926487976766103;0.004243802919920341;0.5409560387452369;0.003921377165175408
46;gbert;0.419772649944289;0.0029750989683478266;0.29276992550204756;0.004087767375390967;0.5410690234368462;0.003775133212953652
47;gbert;0.41973969445946063;0.0029657562308089166;0.2927311466139862;0.003949479468896325;0.5410340412657283;0.003650497471807643
48;gbert;0.41971767851669073;0.0028648302532365126;0.2927672147237475;0.0038669241074960462;0.5410679005294401;0.0035713435714515695
49;gbert;0.41986309313596337;0.0030837354348380868;0.29275432912519966;0.004173157066516409;0.5410540492377756;0.003854839606831002
50;gbert;0.4197685203507046;0.002969582045050225;0.2928942163695611;0.004054752502602758;0.5411840911983411;0.0037429685010370068
51;gbert;0.41953464440925325;0.002852622781690561;0.29259715910613454;0.003988090761200701;0.5409099680094915;0.0036849956985881603
52;gbert;0.4199081558992478;0.0028806085082511957;0.292827360941808;0.003996321164396394;0.5411226689441263;0.0036921170514595957
53;gbert;0.41949366415633393;0.0027565131788842697;0.2924784094879033;0.0038199296867437627;0.5408012197537068;0.0035302497745232212
54;gbert;0.4195047394863988;0.002797487174007051;0.29239330357087295;0.0037997517774056;0.5407226523509935;0.0035112867319237267
55;gbert;0.4198043164656427;0.0027103479615246456;0.29273269442956545;0.003800098831723808;0.5410364001565744;0.0035100506601048304
56;gbert;0.41965019958115407;0.002769012101705245;0.29250840909149456;0.0036454782513943716;0.5408299744770395;0.0033703349710824397
57;gbert;0.4196068764570686;0.0026998581274236097;0.29249810347801847;0.0036015831460324017;0.5408207092550605;0.0033279113367596183
58;gbert;0.4196235708323916;0.002634180947036507;0.29252841708570054;0.0035890918123707067;0.5408488025949748;0.003316748121454962
59;gbert;0.41955340020926823;0.002754986800340096;0.29239280550621377;0.0038227505784743576;0.5407220546969763;0.003532357292607079
60;gbert;0.41942566628656086;0.0026413515589597224;0.29230879382137603;0.0035605534876305216;0.5406458762531858;0.0032925906142383917
1;gbert;0.49402284092975696;0.017493707548692866;0.3938270160108589;0.02803377652802886;0.627175115932504;0.021883071876337937
2;gbert;0.47813963957446903;0.012605845718002412;0.3693642586004955;0.017194923924197327;0.6075920065870118;0.014014583140614071
3;gbert;0.4715997689863054;0.010047949148147705;0.35980668388244996;0.013384790327199856;0.5997365784293539;0.011083466042758167
4;gbert;0.4683298657687227;0.00906121861212704;0.35475670484484184;0.011494737639930664;0.5955372174626368;0.009603107902346461
5;gbert;0.4665570830502598;0.007867942416732786;0.352667165838292;0.009758358295331702;0.5938015688424358;0.008181051776068614
6;gbert;0.46521461305188533;0.007356679666916675;0.3504366593135027;0.008987685817777607;0.5919284688624278;0.007576573642015024
7;gbert;0.46498735085604564;0.006719444624764256;0.3498459553736669;0.008755019246629726;0.5914317968549921;0.007378311597064966
8;gbert;0.4637543477414878;0.006268610313094451;0.3485103678869844;0.007836233152778871;0.5903105466720137;0.006623461709607237
9;gbert;0.46351613004580094;0.005528685039426704;0.3478151925914265;0.007023053365180621;0.5897286344550747;0.005946903466538484
10;gbert;0.4627884517031321;0.005682490496120901;0.3470997519112641;0.006899875831764171;0.5891227647390006;0.005844153631731223
11;gbert;0.46261084654882445;0.005298994402171073;0.34681169164013975;0.006890746364879531;0.5888782610586606;0.005841182421365989
12;gbert;0.4620745288458635;0.005070723764452708;0.34611122853895715;0.006319312614827638;0.5882877399646765;0.005365849284958102
13;gbert;0.4618433185733021;0.0048307117554931235;0.3457098886102063;0.00608260170683489;0.5879483347883618;0.005164387737152272
14;gbert;0.46167280944122;0.004671541253533709;0.3455174828468604;0.005929699071489639;0.5877858046686464;0.005035477427731674
15;gbert;0.4612681528064671;0.0043771425626980085;0.3451863137776081;0.00540916569107776;0.587507597903943;0.004599710869982782
16;gbert;0.4612982383675835;0.0043646702873478575;0.34510043682135916;0.00527579784374214;0.587435385760664;0.00448603411498888
17;gbert;0.46135451727393834;0.004482717584547992;0.34509140716848025;0.005466223719528627;0.5874264198530674;0.004650812525296249
18;gbert;0.46127894252364515;0.0042510282664238825;0.3448874580511209;0.005089699620091873;0.5872552453133172;0.004330549246038946
19;gbert;0.4608888438584157;0.004194083622393236;0.3446702922034129;0.005056923085055133;0.5870705271982024;0.004301953677382126
20;gbert;0.4608941800401593;0.003801266166342463;0.34452839198259627;0.00494635706044532;0.5869503309104249;0.004209364023870015
21;gbert;0.4608360151353638;0.003819114700586252;0.3443810942958217;0.004799032484863742;0.5868257131885587;0.0040857471644323035
22;gbert;0.4607362204030843;0.0037701399858522553;0.3442472250526287;0.004695888709841125;0.5867122464754556;0.0039976079374656704
23;gbert;0.4606661635957713;0.0037035511547127585;0.3441725197414072;0.004530004459410475;0.5866495131399578;0.003857895464440595
24;gbert;0.4605570087996032;0.0036107161659671852;0.3440838760114663;0.004426386148146604;0.5865745336265906;0.0037691801407534076
25;gbert;0.46046695146736244;0.0036602607477715914;0.3439740958720549;0.004472936281662162;0.5864806677458115;0.0038127115353181274
26;gbert;0.4603370136789205;0.0034815629982206443;0.3436225609906727;0.004336822273038759;0.5861816361605042;0.0036964960367558185
27;gbert;0.46020154013774567;0.003133752929772614;0.3437203589885696;0.004010440629636258;0.5862667381632123;0.0034179517888687084
28;gbert;0.46028285475509373;0.003254590786349138;0.3438151015761622;0.004165064150380739;0.5863467459269991;0.003550735797963924
